instante;descricao
0;Sistema inicializado
0;Dados iniciais carregados
0;Simulacao preparada
0;Simulacao iniciada
1519;Simulacao pausada
1519;Mostrar Estado Resumido Sistema
1519;Listar Todos os Clientes
1519;Mostrar Estatisticas Simulaçãoo
1519;Mostrar Relatório Memoria Simulação
1519;Listar Todos os Clientes
1519;Pesquisar Cliente
1519;Listar Todos os Clientes
1519;Pesquisar Cliente
1519;Adicionar Cliente
1519;Adicionar Produto
1519;Saída do menu de gestão
1519;Alterar Velocidade Simulação
1519;Simulacao retomada
2254;Simulacao pausada
2254;Simulacao retomada
2818;Simulacao pausada
2818;Simulacao retomada
3025;Simulacao pausada
3025;Simulacao retomada
3805;Simulacao pausada
3805;Simulacao retomada
8329;Simulacao pausada
8329;Mostrar Estado Resumido Sistema
8329;Simulacao encerrada
8329;Saida do programa
